class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	allowed_filetypes	alphasort	answer_width	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_title	code_filter	commented_checkbox	commented_checkbox_auto	date_format	date_max	date_min	display_columns	display_rows	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	prefix	printable_help	public_statistics	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_default	slider_layout	slider_max	slider_middlestart	slider_min	slider_rating	slider_reset	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown
S		sid		622298																																																																																																																											
S		owner_id		1																																																																																																																											
S		admin		Gjalt-Jorn Peters																																																																																																																											
S		active		Y																																																																																																																											
S		adminemail		contact@partypanel.nl																																																																																																																											
S		anonymized		Y																																																																																																																											
S		format		G																																																																																																																											
S		savetimings		Y																																																																																																																											
S		template		greater_good_template																																																																																																																											
S		language		nl-informal																																																																																																																											
S		datestamp		Y																																																																																																																											
S		usecookie		N																																																																																																																											
S		allowregister		N																																																																																																																											
S		allowsave		Y																																																																																																																											
S		autonumber_start		12																																																																																																																											
S		autoredirect		Y																																																																																																																											
S		allowprev		Y																																																																																																																											
S		printanswers		N																																																																																																																											
S		ipaddr		N																																																																																																																											
S		refurl		N																																																																																																																											
S		datecreated		2019-06-16																																																																																																																											
S		publicstatistics		N																																																																																																																											
S		publicgraphs		N																																																																																																																											
S		listpublic		N																																																																																																																											
S		htmlemail		Y																																																																																																																											
S		sendconfirmation		Y																																																																																																																											
S		tokenanswerspersistence		N																																																																																																																											
S		assessments		N																																																																																																																											
S		usecaptcha		D																																																																																																																											
S		usetokens		N																																																																																																																											
S		bounce_email		contact@partypanel.nl																																																																																																																											
S		tokenlength		15																																																																																																																											
S		showxquestions		N																																																																																																																											
S		showgroupinfo		D																																																																																																																											
S		shownoanswer		N																																																																																																																											
S		showqnumcode		B																																																																																																																											
S		bounceprocessing		N																																																																																																																											
S		showwelcome		N																																																																																																																											
S		showprogress		Y																																																																																																																											
S		questionindex		0																																																																																																																											
S		navigationdelay		0																																																																																																																											
S		nokeyboard		N																																																																																																																											
S		alloweditaftercompletion		N																																																																																																																											
S		googleanalyticsstyle		1																																																																																																																											
S		googleanalyticsapikey		UA-63939486-1																																																																																																																											
SL		surveyls_title		Party Panel 19.1		nl-informal																																																																																																																									
SL		surveyls_description		<script> function shiftMonth(shift, addYear) {   var month = new Array();   month[0] = "januari";   month[1] = "februari";   month[2] = "maart";   month[3] = "april";   month[4] = "mei";   month[5] = "juni";   month[6] = "juli";   month[7] = "augustus";   month[8] = "september";   month[9] = "oktober";   month[10] = "november";   month[11] = "december";    var d = new Date();   var n = d.getMonth();   var y = d.getFullYear();      var m = n + shift;    if (m < 0) {     m = m + 12;     y = y - 1;   }    if (m > 11) {     m = m - 12;     y = y + 1;   }    m = typeof addYear !== 'undefined' ? month[m] + " " + y : month[m];    return(m);  } $( document ).ready(function() {   // Remove the empty line that LS sometimes adds after questions   $("div.survey-question-text > br").remove();    // Center the survey title   $("div#surveydata > h1").css("text-align", "center");    // Remove the 'obligatory question' asterisk   $(".asterisk").css("display", "none");    // Remove the question number and code   $(".qnumcode").css("display", "none");    // Remove the 'stop and clear all answers' button   $("div#clearallbox").css("display", "none");    // Remove the question help (e.g. "only enter numbers here")   $("div.questiontext .questionhelp").css("display", "none"); }); </script>		nl-informal																																																																																																																									
SL		surveyls_url		http://partypanel.nl?reg&completed		nl-informal																																																																																																																									
SL		surveyls_urldescription		Pagina waar email-adressen opgeslagen kunnen worden.		nl-informal																																																																																																																									
SL		surveyls_email_invite_subj		Uitnodiging om deel te nemen aan een vragenlijst		nl-informal																																																																																																																									
SL		surveyls_email_invite		Beste {FIRSTNAME},<br /> <br /> Je wordt uitgenodigd om deel te nemen aan een onderzoek.<br /> <br /> Het onderzoek is genaamd:<br /> '{SURVEYNAME}'<br /> <br /> '{SURVEYDESCRIPTION}'<br /> <br /> Om aan het onderzoek deel te nemen moet je op onderstaande link klikken.<br /> <br /> Met vriendelijke groeten,<br /> <br /> {ADMINNAME} ({ADMINEMAIL})<br /> <br /> ----------------------------------------------<br /> Klik op {SURVEYURL}<br />  om aan het onderzoek deel te nemen.<br /> <br /> Als u deze vragenlijst niet wilt invullen en ook geen nieuwe uitnodigingen wilt ontvangen, klik dan a.u.b. op de volgende link: {OPTOUTURL}<br /> <br /> Als u bent uitgesloten, maar toch deze vragenlijst wilt invullen en ook nieuwe uitnodigingen wilt ontvangen, klik dan op de volgende link:<br /> {OPTINURL}		nl-informal																																																																																																																									
SL		surveyls_email_remind_subj		Herinnering om deel te nemen aan een vragenlijst		nl-informal																																																																																																																									
SL		surveyls_email_remind		Beste {FIRSTNAME},<br /> <br /> Recent bent je uitgenodigd om aan een onderzoek deel te nemen.<br /> <br /> We hebben geconstateerd dat je nog niet aan het onderzoek hebt deelgenomen en willen je er bij deze aan herinneren dat het onderzoek nog loopt en dat je, als je dat wilt, nog kan deelnemen. <br /> <br /> Het onderzoek is getiteld: <br /> ''{SURVEYNAME}"<br /> <br /> ''{SURVEYDESCRIPTION}"<br /> <br /> Om deel te nemen klik je op onderstaande link. <br /> <br /> Hoogachtend,<br /> <br /> {ADMINNAME} ({ADMINEMAIL})<br /> <br /> ----------------------------------------------<br /> Klik op:<br /> {SURVEYURL} om aan het onderzoek deel te nemen.<br /> <br /> Als u deze vragenlijst niet wilt invullen en ook geen nieuwe uitnodigingen wilt ontvangen, klik dan a.u.b. op de volgende link: {OPTOUTURL}		nl-informal																																																																																																																									
SL		surveyls_email_register_subj		Bevestiging registratie vragenlijst		nl-informal																																																																																																																									
SL		surveyls_email_register		Beste {FIRSTNAME},<br /> <br /> Je, of iemand die je e-mailadres gebruikt, heeft zich aangemeld voor deelname aan het online onderzoek {SURVEYNAME}.<br /> <br /> Klik op onderstaande link om aan het onderzoek mee te doen:<br /> <br /> {SURVEYURL}<br /> <br /> Als je vragen hebt over de vragenlijst, of als je je niet hebt aangemeld voor deelname en meent dat je deze e-mail ten onrechte hebt ontvangen, kun je contact opnemen met {ADMINNAME} via {ADMINEMAIL}.		nl-informal																																																																																																																									
SL		surveyls_email_confirm_subj		Bevestiging van je deelname aan de vragenlijst		nl-informal																																																																																																																									
SL		surveyls_email_confirm		Beste {FIRSTNAME},<br /> <br /> Dit e-mail bericht bevestigt dat je de vragenlijst {SURVEYNAME} hebt ingevuld en dat je antwoorden zijn verwerkt. Bedankt voor de deelname.<br /> <br /> Als je vragen hebt over deze e-mail, neem dan contact op met de beheerder {ADMINNAME} via {ADMINEMAIL}.<br /> <br /> Met vriendelijke groeten,<br /> <br /> {ADMINNAME}		nl-informal																																																																																																																									
SL		surveyls_dateformat		9		nl-informal																																																																																																																									
SL		email_admin_notification_subj		Respons vragenlijst {SURVEYNAME}		nl-informal																																																																																																																									
SL		email_admin_notification		Hallo,<br /> <br /> Er is een nieuwe reactie op je vragenlijst '{SURVEYNAME}'.<br /> <br /> Om de vragenlijst te bekijken:<br /> {RELOADURL}<br /> <br /> Om de reactie te bekijken:<br /> {VIEWRESPONSEURL}<br /> <br /> Om de nieuwe reactie te wijzigen:<br /> {EDITRESPONSEURL}<br /> <br /> Om de statistieken te bekijken:<br /> {STATISTICSURL}		nl-informal																																																																																																																									
SL		email_admin_responses_subj		Respons vragenlijst {SURVEYNAME} met resultaten		nl-informal																																																																																																																									
SL		email_admin_responses		Hallo,<br /> <br /> Er is een nieuwe reactie op je vragenlijst  '{SURVEYNAME}'.<br /> <br /> Om de vragenlijst te bekijken:<br /> {RELOADURL}<br /> <br /> Om de nieuwe reactie te bekijken:<br /> {VIEWRESPONSEURL}<br /> <br /> Om de nieuwe reactie te wijzigen:<br /> {EDITRESPONSEURL}<br /> <br /> Om de statistieken te bekijken:<br /> {STATISTICSURL}<br /> <br /> <br /> De deelnemer geeft de volgende antwoorden gegeven:<br /> {ANSWERTABLE}		nl-informal																																																																																																																									
SL		surveyls_numberformat		0		nl-informal																																																																																																																									
G	G0	intro	1	<noscript>   <div style="position: fixed; bottom: 0; right: 0; top: 0; left: 0; width:100%; height: 100%; background: white; vertical-align: middle; z-index:9999;">     <div style="margin: 10% auto; width: 60%; height: 80%; border: solid 1px red; background: #fbb; font-size:150%; color: black; vertical-align: middle;">       <div style='text-align: center; vertical-align: middle; padding: 20% 20px;'>         <p>Party Panel heeft JavaScript nodig.</p>         <p><a style='color:#933; border-bottom: #933 dotted 1px;' href="http://www.enable-javascript.com/nl/" target="_blank">           Klik hier</a>         voor hulp met het activeren van JavaScript.</p>       </div>     </div>   </div> </noscript>		nl-informal																																																																																																																									
Q	M	moreInfo	1	<p>  Het doel van Party Panel is om samen met jou de voorlichting over gezond en leuk uitgaan te verbeteren. Deze vijfde ronde gaat over slapen voor en na het uitgaan.</p> 		nl-informal			N		1							1									1																																																																															1																					
SQ	0	1		Zet hier een vinkje als je meer informatie wilt lezen		nl-informal																																																																																																																									
Q	X	intro	moreInfo_1.NAOK == "Y"	<h3>  Extra uitleg over de vragenlijst</h3> Deelname is vrijwillig. Je kunt op elk moment stoppen met invullen. Deze vragenlijst is volledig anoniem. Het is onmogelijk om je antwoorden aan jou te linken (<a href="http://partypanel.nl/?info" target="_blank">klik hier voor meer informatie</a>). <p>  De vragenlijst start met een aantal vragen over hoe je uitgaat, en vraagt daarna naar je slaapgedrag en wat je denkt over slapen rondom uitgaan. Hierna volgen er wat vragen over jou persoonlijk. Die kun je overslaan als je wil. Tot slot kun je tips geven voor de volgende vragenlijst, en als je wil kun je je e-mail adres achterlaten om bericht te krijgen over de resultaten en als de volgende vragenlijst online staat (je e-mail adres kan niet gekoppeld worden aan de antwoorden op de vragenlijst).</p> 		nl-informal			N		1																																																																																															1					1																
Q	L	informedConsent	1	<p>  <textarea cols="50" readonly="readonly" rows="5" style="font-family:courier new, courier !important; font-size:80% !important; padding: 5px !important;">Voordat je kunt starten willen we je vragen akkoord te gaan met de zogenaamde 'informed consent'. Dit is nodig voor wetenschappelijk onderzoek.  Door akkoord te gaan met deze informed consent stem ik in met het volgende.  Ik geef toestemming om de gegevens die verzameld zijn tijdens dit onderzoek te gebruiken voor wetenschappelijk onderzoek.  Ik heb de informatie ontvangen die bij dit onderzoek hoorde (zie https://partypanel.nl/?info) en ik heb de gelegenheid gehad om vragen te stellen aan de onderzoekers als er bepaalde dingen niet duidelijk waren (dit kan via https://partypanel.nl/?contact).  Ik begrijp dat al de informatie die ik ten behoeve van dit onderzoek geef anoniem worden verzameld en niet tot mij terug te leiden zijn. Ik begrijp dat als ik ergens in een tekstveld informatie invoer, dat die informatie dan ook openbaar wordt gemaakt, en daar geef ik bij deze toestemming voor. Ik zal geen identificerende informatie invoeren in zulke tekstvelden.  Ik begrijp dat ik op elk moment kan stoppen met het onderzoek; ik hoef hiervoor geen reden op te geven.  Indien je de bovenstaande punten hebt gelezen en akkoord gaat met deelname aan het onderzoek, teken dan hieronder het toestemmingsformulier digitaal door de juiste optie te kiezen. </textarea></p> <p>  Heel erg bedankt alvast voor het meedoen, en veel plezier met het invullen van de vragenlijst!</p> 		nl-informal		Y	N		1																1																																																																															1					1																
A	0	yes		Ja, ik ga akkoord met deelname!		nl-informal																																																																																																																									
A	0	no		Nee, ik wil toch niet meedoen.		nl-informal																																																																																																																									
Q	*	randomNumber1	1	{rand(1,2)}		nl-informal			N		1																																		1																																																													1																					
Q	*	randomNumber2	1	{rand(1,4)}		nl-informal			N		1																																		1																																																													1																					
